line,brigade,lon,lat,time
15,2,21.0212746,52.2140427,2017-10-03 00:00:01
4,14,21.0083008,52.235527000000005,2017-10-03 00:00:02
35,1,21.0160561,52.223011,2017-10-03 00:00:04
24,7,21.0123043,52.230033899999995,2017-10-03 00:00:02
1,11,20.9776516,52.2656364,2017-10-03 00:00:02
24,11,21.0827408,52.244518299999996,2017-10-02 23:58:39
26,6,21.064042999999998,52.246536299999995,2017-10-03 00:00:03
9,32,20.9962139,52.2265625,2017-10-03 00:00:05
9,33,21.084816,52.2446289,2017-10-03 00:00:02
7,6,21.0035782,52.1887016,2017-10-03 00:00:05
9,37,20.943763699999998,52.176101700000004,2017-10-03 00:00:03
26,2,20.943119,52.29769520000001,2017-10-02 23:59:58
26,1,20.918438000000002,52.255882299999996,2017-10-03 00:00:01
10,7,21.0245914,52.189445500000005,2017-10-03 00:00:04
35,11,20.9247627,52.2602272,2017-10-03 00:00:06
9,31,20.9584255,52.1904984,2017-10-03 00:00:02
9,36,20.964170499999998,52.1969719,2017-10-03 00:00:03
35,13,20.978700600000003,52.262386299999996,2017-10-03 00:00:06
15,8,21.0241184,52.1965675,2017-10-03 00:00:06
25,4,21.0168133,52.230911299999995,2017-10-02 18:19:08
17,6,20.9588661,52.3105354,2017-10-02 19:30:33
35,3,21.0160236,52.1679993,2017-10-03 00:00:02
2,3,20.9295006,52.292789500000005,2017-10-03 00:00:03
2,5,20.941795300000003,52.3341408,2017-10-03 00:00:03
11,1,20.9738102,52.2351456,2017-10-03 00:00:01
10,13,20.9075928,52.23883060000001,2017-10-03 00:00:05
11,2,20.9724464,52.232769,2017-10-02 08:33:33
20,2,20.970523800000002,52.2410622,2017-10-03 00:00:05
35,8,21.0064697,52.2381325,2017-06-14 21:19:44
15,12,20.9570065,52.2826614,2017-10-03 00:00:16
24,12,21.118848800000002,52.2382278,2017-10-03 00:00:14
35,8,20.9353161,52.2775459,2017-10-03 00:00:16
24,017,20.9332085,52.2698059,2017-10-03 00:00:14
18,2,21.004875199999997,52.2407227,2017-10-02 19:27:37
22,016,20.9286156,52.2996635,2017-10-03 00:00:14
6,3,20.9306488,52.299747499999995,2017-10-02 18:49:49
18,3,21.0011616,52.188018799999995,2017-10-02 10:19:12
33,020,20.9291515,52.2799301,2017-10-03 00:00:13
33,10,21.0075817,52.2075157,2017-10-02 08:51:35
33,12,20.9996719,52.1876183,2017-09-05 23:30:07
9,12,20.943727499999998,52.1758347,2017-10-03 00:00:13
24,2,21.031103100000003,52.2339287,2017-10-03 00:00:15
7,10,21.053772,52.256092100000004,2017-10-02 15:56:44
26,3,20.9751358,52.235454600000004,2017-10-03 00:00:15
9,020,21.0723171,52.2423096,2017-10-03 00:00:12
9,019,21.1188202,52.2381516,2017-10-03 00:00:13
10,023,20.968627899999998,52.232459999999996,2017-10-03 00:00:13
15,4,20.9718056,52.2056046,2017-10-03 00:00:16
15,015,20.984794600000004,52.219020799999996,2017-10-02 09:29:06
4,12,21.0104103,52.1888618,2017-10-03 00:00:16
4,8,21.0178738,52.3056641,2017-06-01 17:19:00
15,014,21.001205399999996,52.187767,2017-09-29 17:48:35
9,014,20.9440517,52.1763077,2017-10-03 00:00:15
9,017,21.050241500000002,52.2378731,2017-10-03 00:00:13
9,015,20.9799595,52.21508789999999,2017-10-03 00:00:04
23,4,21.033298499999997,52.25641629999999,2017-10-02 12:32:59
22,4,20.985096,52.22074129999999,2017-08-16 22:42:14
18,9,21.0277767,52.278141,2017-08-17 08:40:49
9,34,21.0155563,52.2307091,2017-10-03 00:00:15
25,10,21.0557709,52.2570419,2017-10-02 19:25:40
15,2,21.021265,52.2141304,2017-10-03 00:00:17
4,14,21.0086098,52.2350082,2017-10-03 00:00:13
35,1,21.0156651,52.2234192,2017-10-03 00:00:15
24,7,21.0123043,52.230033899999995,2017-10-03 00:00:13
1,11,20.977376899999996,52.2660446,2017-10-03 00:00:14
24,11,21.0827408,52.244518299999996,2017-10-02 23:58:39
26,6,21.063753100000003,52.2465553,2017-10-03 00:00:08
9,32,20.9952793,52.226360299999996,2017-10-03 00:00:15
9,33,21.084816,52.2446289,2017-10-03 00:00:12
7,6,21.0035782,52.1887016,2017-10-03 00:00:10
9,37,20.943763699999998,52.176101700000004,2017-10-03 00:00:13
26,2,20.943119,52.29769520000001,2017-10-02 23:59:58
26,1,20.9191093,52.2564354,2017-10-03 00:00:13
10,7,21.0245876,52.18949129999999,2017-10-03 00:00:14
35,11,20.9247627,52.2602272,2017-10-03 00:00:11
9,31,20.9584255,52.1904984,2017-10-03 00:00:02
9,36,20.964588199999998,52.1974487,2017-10-03 00:00:13
35,13,20.9777985,52.2626343,2017-10-03 00:00:15
15,8,21.0241184,52.1965675,2017-10-03 00:00:16
25,4,21.0168133,52.230911299999995,2017-10-02 18:19:08
17,6,20.9588661,52.3105354,2017-10-02 19:30:33
35,3,21.0155525,52.167800899999996,2017-10-03 00:00:15
2,3,20.9290657,52.2924423,2017-10-03 00:00:13
2,5,20.9417973,52.3341408,2017-10-03 00:00:13
11,1,20.973060600000004,52.2349625,2017-10-03 00:00:16
10,13,20.9097061,52.2388725,2017-10-03 00:00:15
11,2,20.9724464,52.232769,2017-10-02 08:33:33
20,2,20.970533399999997,52.2410278,2017-10-03 00:00:16
35,8,21.0064697,52.2381325,2017-06-14 21:19:44
15,12,20.9561577,52.2835541,2017-10-03 00:00:26
24,12,21.118848800000002,52.2382278,2017-10-03 00:00:24
35,8,20.9340935,52.278133399999994,2017-10-03 00:00:26
24,017,20.933691,52.27071,2017-10-03 00:00:24
18,2,21.004875199999997,52.2407227,2017-10-02 19:27:37
22,016,20.9286156,52.2996635,2017-10-03 00:00:24
6,3,20.9306488,52.299747499999995,2017-10-02 18:49:49
18,3,21.0011616,52.188018799999995,2017-10-02 10:19:12
33,020,20.928482100000004,52.2801666,2017-10-03 00:00:23
33,10,21.0075817,52.2075157,2017-10-02 08:51:35
33,12,20.9996719,52.1876183,2017-09-05 23:30:07
9,12,20.943727499999998,52.1758347,2017-10-03 00:00:28
24,2,21.031763100000003,52.234058399999995,2017-10-03 00:00:20
7,10,21.053772,52.256092100000004,2017-10-02 15:56:44
26,3,20.974369,52.2352753,2017-10-03 00:00:25
9,020,21.0725422,52.24235529999999,2017-10-03 00:00:28
9,019,21.118822100000003,52.238143900000004,2017-10-03 00:00:23
10,023,20.9687996,52.2319336,2017-10-03 00:00:23
15,4,20.9718056,52.2056046,2017-10-03 00:00:26
15,015,20.984794600000004,52.219020799999996,2017-10-02 09:29:06
4,12,21.008562100000002,52.1888466,2017-10-03 00:00:27
4,8,21.0178738,52.3056641,2017-06-01 17:19:00
15,014,21.001205399999996,52.187767,2017-09-29 17:48:35
9,014,20.9440517,52.1763077,2017-10-03 00:00:25
9,017,21.0501671,52.237854,2017-10-03 00:00:24
9,015,20.9799595,52.21508789999999,2017-10-03 00:00:04
23,4,21.033298499999997,52.25641629999999,2017-10-02 12:32:59
22,4,20.985096,52.22074129999999,2017-08-16 22:42:14
18,9,21.0277767,52.278141,2017-08-17 08:40:49
9,34,21.015871,52.2307777,2017-10-03 00:00:25
25,10,21.0557709,52.2570419,2017-10-02 19:25:40
15,2,21.021265,52.2141304,2017-10-03 00:00:27
4,14,21.0089874,52.234378799999995,2017-10-03 00:00:18
35,1,21.0152264,52.2240829,2017-10-03 00:00:25
24,7,21.0123043,52.230033899999995,2017-10-03 00:00:23
1,11,20.977066,52.2665138,2017-10-03 00:00:27
24,11,21.0827408,52.244518299999996,2017-10-02 23:58:39
26,6,21.063753100000003,52.2465553,2017-10-03 00:00:08
9,32,20.994035699999998,52.226093299999995,2017-10-03 00:00:26
9,33,21.084817899999997,52.244632700000004,2017-10-03 00:00:27
7,6,21.0035782,52.1887016,2017-10-03 00:00:26
9,37,20.943763699999998,52.176101700000004,2017-10-03 00:00:23
26,2,20.9424477,52.2984009,2017-10-03 00:00:19
26,1,20.919714000000003,52.2569199,2017-10-03 00:00:28
10,7,21.0242729,52.1898155,2017-10-03 00:00:26
35,11,20.9247627,52.2602272,2017-10-03 00:00:27
9,31,20.9584255,52.1904984,2017-10-03 00:00:02
9,36,20.9646091,52.197464000000004,2017-10-03 00:00:28
35,13,20.9777889,52.2626419,2017-10-03 00:00:25
15,8,21.0241547,52.19603729999999,2017-10-03 00:00:27
25,4,21.0168133,52.230911299999995,2017-10-02 18:19:08
17,6,20.9588661,52.3105354,2017-10-02 19:30:33
35,3,21.015871,52.1674843,2017-10-03 00:00:27
2,3,20.928733800000003,52.29219439999999,2017-10-03 00:00:28
2,5,20.9417992,52.3341331,2017-10-03 00:00:24
11,1,20.9726124,52.234844200000005,2017-10-03 00:00:26
10,13,20.910738000000002,52.2389221,2017-10-03 00:00:25
11,2,20.9724464,52.232769,2017-10-02 08:33:33
20,2,20.9707088,52.2405548,2017-10-03 00:00:26
35,8,21.0064697,52.2381325,2017-06-14 21:19:44
15,12,20.956018399999998,52.2837029,2017-10-03 00:00:36
24,12,21.118848800000002,52.2382278,2017-10-03 00:00:40
35,8,20.9335079,52.2783508,2017-10-03 00:00:37
24,017,20.933849300000002,52.2710152,2017-10-03 00:00:40
18,2,21.004875199999997,52.2407227,2017-10-02 19:27:37
22,016,20.9286156,52.2996635,2017-10-03 00:00:40
6,3,20.9306488,52.299747499999995,2017-10-02 18:49:49
18,3,21.0011616,52.188018799999995,2017-10-02 10:19:12
33,020,20.9275627,52.2804375,2017-10-03 00:00:38
33,10,21.0075817,52.2075157,2017-10-02 08:51:35
