line,brigade,lon,lat,time
N35,138,20.988751999999998,52.224334999999996,2017-10-02 23:59:42
L39,1,21.0203645,52.082060999999996,2017-10-02 23:36:55
L12,1,21.1057905,52.119325599999996,2017-04-24 07:45:36
169,2,21.041662,52.300356,2017-10-02 23:59:51
190,6,21.034576,52.25472,2017-10-02 23:59:49
111,9,21.010157999999997,52.260959,2017-10-02 23:59:52
511,3,20.972217,52.320592,2017-10-02 23:59:52
731,62,20.940683,52.368884,2017-10-02 23:59:52
140,6,21.113954,52.333784,2017-10-02 23:59:51
114,8,21.026232999999998,52.281015000000004,2017-10-02 23:59:51
511,2,20.928409,52.291199,2017-10-02 23:59:51
517,7,21.044732,52.273444,2017-10-02 23:59:53
509,14,21.046314000000002,52.262598,2017-10-02 23:59:51
723,63,20.991011,52.301737,2017-10-02 23:59:50
509,11,21.037263,52.267313,2017-10-02 23:59:50
500,6,21.042316,52.29537,2017-10-02 23:59:51
527,7,21.060301000000003,52.3151,2017-10-02 23:59:51
723,66,20.92367,52.375780999999996,2017-10-02 05:20:22
345,2,21.104777,52.286068,2017-10-02 23:59:51
N01,5,20.914781,52.231668,2017-10-02 23:59:49
N62,128,21.008469,52.260386,2017-10-02 23:59:52
N44,2,21.002843,52.234194,2017-10-02 23:59:52
N13,148,20.983126000000002,52.254290000000005,2017-10-02 23:59:53
723,245,20.932326999999997,52.366368,2017-10-02 23:59:51
N61,121,21.002912,52.232492,2017-10-02 23:59:52
N36,213,21.002612,52.189013,2017-10-02 23:59:45
120,3,21.044998,52.259071,2017-10-02 23:59:52
N45,125,21.003557999999998,52.231288,2017-10-02 23:59:49
N02,3,20.933309,52.271125,2017-10-02 23:59:53
104,3,21.033369,52.334945000000005,2017-10-02 23:59:53
N42,216,21.003817,52.241821,2017-10-02 23:59:42
240,2,21.026829,52.279131,2017-10-02 23:59:48
N11,201,21.059688,52.324798,2017-10-02 23:59:51
197,8,20.947782,52.27718,2017-10-02 23:59:50
N03,3,20.941523999999998,52.33289,2017-10-02 23:59:48
N11,122,21.058982999999998,52.266715999999995,2017-10-02 23:59:50
717,2,20.916286,52.189083000000004,2017-10-02 23:59:48
ZP,6,20.803202,52.166503999999996,2017-10-02 23:59:53
717,5,20.771738,52.160564,2017-10-02 23:59:53
189,15,20.895739000000003,52.202531,2017-10-02 23:59:49
189,4,20.927229999999998,52.196206,2017-10-02 23:59:48
112,7,20.914632,52.229063000000004,2017-10-02 23:59:48
190,16,21.033229000000002,52.254015,2017-10-02 23:59:54
REZERWA ,C94,20.922619,52.195658,2017-10-02 19:26:10
128,8,20.963695,52.20881,2017-10-02 23:59:54
713,1,20.860288,52.216006,2017-10-02 23:59:47
155,3,20.932382999999998,52.234099,2017-10-02 23:59:50
512,4,21.049699,52.286013,2017-10-02 23:59:52
509,2,20.961839,52.317096,2017-10-02 23:59:48
738,52,21.178893,52.415372999999995,2017-10-02 23:59:54
N13,344,20.939876,52.339985,2017-10-02 23:59:41
705,2,20.996679999999998,52.256622,2017-10-02 23:59:49
114,9,21.037404000000002,52.26723,2017-10-02 23:59:48
512,1,21.063839,52.286689,2017-10-02 23:59:47
114,3,20.917051999999998,52.312877,2017-10-02 23:59:34
190,2,21.085494,52.305042,2017-10-02 23:59:50
112,13,21.048163,52.287459999999996,2017-10-02 23:59:45
L-6,1,20.695861999999998,52.245641,2017-09-05 10:07:05
L29,1,20.587232,52.257355,2017-10-02 12:36:51
116,4,21.064061,52.202366999999995,2017-10-02 23:59:46
N44,207,20.933528,52.298429999999996,2017-10-02 23:57:54
171,4,20.923092999999998,52.196513,2017-10-02 23:59:53
N22,204,21.149625,52.214133000000004,2017-10-02 23:59:53
172,2,21.069019,52.181366,2017-10-02 23:59:51
136,3,21.043205,52.148237,2017-10-02 23:59:52
136,6,20.977009,52.210777,2017-10-02 23:59:52
N37,261,21.018035,52.219590000000004,2017-10-02 23:59:53
167,8,21.013145,52.197136,2017-10-02 23:59:50
727,3,20.943773,52.03683,2017-10-02 23:59:52
189,14,20.915459,52.204343,2017-10-02 23:59:53
N83,171,21.048519,52.206043,2017-10-02 23:59:47
217,2,20.998372,52.188925,2017-10-02 23:59:54
180,7,21.112125,52.226886,2017-10-02 23:59:51
125,6,21.092673,52.244285,2017-10-02 23:59:50
523,4,21.08587,52.245084999999996,2017-10-02 23:59:51
145,2,21.128385,52.253145,2017-10-02 23:59:52
N72,205,21.021523000000002,52.232051,2017-10-02 23:59:52
171,14,21.043362,52.222871999999995,2017-10-02 23:59:49
171,2,21.021179999999998,52.22955,2017-10-02 23:59:48
N21,1,21.224168,52.232781,2017-10-02 23:59:53
138,3,21.054893,52.262570000000004,2017-10-02 23:59:51
514,4,21.2246,52.25042,2017-10-02 23:59:52
514,1,21.124357,52.233225,2017-10-02 23:59:44
145,7,21.022698000000002,52.292497999999995,2017-10-02 23:59:50
148,6,21.085117999999998,52.244409000000005,2017-10-02 23:59:52
185,4,21.041622,52.159003000000006,2017-10-02 23:59:50
187,3,21.118137,52.234207,2017-10-02 23:59:50
116,3,21.118392999999998,52.232718,2017-10-02 23:59:46
143,012,21.151595,52.269213,2017-10-02 23:59:49
125,2,21.141118,52.228184999999996,2017-10-02 23:59:53
116,5,21.076588,52.167702,2017-10-02 23:59:47
136,10,21.00273,52.176175,2017-10-02 23:59:53
710,1,20.99577,52.188835,2017-10-02 23:59:38
728,1,20.9381,52.170590000000004,2017-10-02 23:59:48
143,5,20.996332000000002,52.188895,2017-10-02 23:59:40
189,9,21.05481,52.181052,2017-10-02 23:59:46
709,2,21.017087,52.163977,2017-10-02 23:59:53
521,3,21.085545,52.244602,2017-10-02 23:59:49
509,10,21.103132000000002,52.237408,2017-10-02 23:59:45
N22,203,21.06727,52.226013,2017-10-02 23:59:50
189,5,21.002392,52.180762,2017-10-02 23:59:43
709,10,21.015418,52.074067,2017-10-02 23:59:43
148,9,20.978257,52.16952,2017-10-02 23:59:41
710,6,21.02426,52.179843,2017-10-02 23:59:53
148,7,21.047107,52.163509999999995,2017-10-02 23:59:46
124,2,20.925397,52.196395,2017-10-02 23:59:49
N36,314,21.009422,52.204632000000004,2017-10-02 23:59:48
171,5,20.911076,52.247501,2017-10-02 23:59:53
168,4,20.996093,52.188869,2017-10-02 23:59:45
184,2,20.927733,52.196118,2017-10-02 23:59:52
184,4,20.926051,52.247158,2017-10-02 23:59:53
187,12,20.910057000000002,52.194992,2017-10-02 23:59:49
N85,136,20.94921,52.210097,2017-10-02 23:59:45
N37,142,21.073275,52.135712,2017-10-02 23:59:47
N34,206,21.007679,52.207668,2017-10-02 23:59:47
189,12,21.001739,52.178115000000005,2017-10-02 23:59:46
N33,173,21.003304,52.232271999999995,2017-10-02 23:59:52
167,6,21.082874,52.208283,2017-10-02 23:59:55
N34,162,21.058542000000003,52.131208,2017-10-02 23:59:51
N35,139,20.92938,52.195894,2017-10-02 23:59:50
185,9,21.117884,52.232753,2017-10-02 23:59:49
704,1,21.214154,52.224125,2017-10-02 23:59:48
509,8,21.117846,52.233871,2017-10-02 23:59:48
141,2,21.045878,52.21882,2017-10-02 23:59:51
N24,211,21.154384,52.266746999999995,2017-10-02 23:59:53
174,09,20.995397,52.170199,2017-10-02 23:59:53
N35,137,20.869059,52.197938,2017-10-02 23:59:50
N37,318,21.056614,52.141048,2017-10-02 23:59:50
N31,133,21.101312,52.179805,2017-10-02 23:59:53
709,8,21.017713,52.164016,2017-10-02 23:59:53
N34,149,21.001914000000003,52.183658,2017-10-02 23:59:51
N63,246,21.003216000000002,52.229982,2017-10-02 23:59:50
172,012,21.001496,52.194815000000006,2017-10-02 23:59:51
519,3,21.036627,52.177002,2017-10-02 23:59:50
184,5,20.92801,52.290743,2017-10-02 23:59:50
N02,6,21.078249,52.226151,2017-10-02 23:59:51
133,2,20.983538,52.354206,2017-10-02 23:59:50
737,1,21.014708,52.121947999999996,2017-10-02 23:59:52
N02,5,21.050273999999998,52.292217,2017-10-02 23:59:51
N02,1,21.103687,52.233990000000006,2017-10-02 23:59:54
N03,1,21.044079,52.175625,2017-10-02 23:59:48
135,6,21.046825,52.259903,2017-10-02 23:59:49
179,7,21.030659,52.154152,2017-10-02 23:59:52
N03,056,21.034454,52.258635999999996,2017-10-02 23:59:48
742,52,21.219555,51.981678,2017-10-02 23:59:52
179,2,21.051160999999997,52.154705,2017-10-02 23:59:50
N14,1,21.045565,52.317623,2017-10-02 23:59:50
153,1,21.158472,52.262096,2017-10-02 23:59:50
N03,5,21.053135,52.198215000000005,2017-10-02 23:59:55
516,4,20.971519,52.320877,2017-10-02 23:59:49
157,1,20.989857,52.225246000000006,2017-10-02 23:59:49
176,2,20.982634,52.345211,2017-10-02 23:59:37
N01,6,20.955013,52.317249,2017-10-02 23:59:51
N64,2,21.026369,52.293403999999995,2017-10-02 23:59:55
N41,182,20.979198,52.25349,2017-10-02 23:59:27
118,7,21.019648,52.291534000000006,2017-10-02 23:59:54
152,3,20.952337,52.316914000000004,2017-10-02 23:59:51
N64,124,21.002941,52.234142,2017-10-02 23:59:52
